Date,Open,High,Low,Close
2007-01-02,2.8854,2.886,2.8752,2.8783
2007-01-03,2.883,2.9072,2.8771,2.9065
2007-01-04,2.9127,2.9689,2.9106,2.9685
2007-01-05,2.9733,2.9893,2.9554,2.989
2007-01-08,2.9809,2.9884,2.9651,2.97
2007-01-09,2.955,2.982,2.9528,2.9796
2007-01-10,2.9947,3.0092,2.9886,2.9989
2007-01-11,2.994,3.003,2.9738,2.9951
2007-01-12,2.9993,3.0068,2.9873,2.9973
2007-01-15,2.9885,2.9952,2.9846,2.9912
2007-01-16,2.9854,3.0009,2.9813,2.9961
2007-01-17,3.0097,3.0174,3.003,3.0045
2007-01-18,2.9937,3.009,2.9764,2.9804
2007-01-19,2.9622,2.9811,2.9565,2.9703
2007-01-22,2.9667,2.9738,2.9584,2.9683
2007-01-23,2.9759,2.9792,2.9568,2.9779
2007-01-24,2.9837,2.9984,2.9775,2.9898
2007-01-25,2.9896,3.0204,2.9784,3.0183
2007-01-26,3.0469,3.0528,3.0264,3.0358
2007-01-29,3.0319,3.0457,3.0269,3.0407
2007-01-30,3.0286,3.0405,3.0262,3.0317
2007-01-31,3.0307,3.0413,3.0036,3.0079
2007-02-01,2.9966,2.9989,2.9836,2.9969
2007-02-02,2.9911,3.0117,2.9835,3.0095
2007-02-05,3.0076,3.0116,2.9887,2.9911
2007-02-06,2.984,2.9924,2.9806,2.9848
2007-02-07,2.9805,2.9812,2.9684,2.9706
2007-02-08,2.9751,2.9838,2.9751,2.9814
2007-02-09,2.9805,2.9971,2.9795,2.9948
2007-02-12,2.991,3.031,2.9869,3.0244
2007-02-13,3.0158,3.017,2.9943,3.0081
2007-02-14,2.9894,2.9912,2.9631,2.9741
2007-02-15,2.9629,2.9775,2.9586,2.9757
2007-02-16,2.9729,2.9799,2.9682,2.9684
2007-02-19,2.964,2.9686,2.9583,2.9607
2007-02-20,2.9531,2.9624,2.9496,2.9609
2007-02-21,2.9557,2.9648,2.9527,2.9566
2007-02-22,2.9561,2.9656,2.952,2.9538
2007-02-23,2.9583,2.9627,2.9387,2.9461
2007-02-26,2.945,2.9625,2.9403,2.9586
2007-02-27,2.9666,2.9692,2.946,2.9491
2007-02-28,2.9697,2.9741,2.9602,2.969
2007-03-01,2.9582,2.9695,2.9478,2.9598
2007-03-02,2.9573,2.968,2.955,2.9591
2007-03-05,2.9843,2.9963,2.9752,2.9816
2007-03-06,2.9744,2.9793,2.9673,2.9751
2007-03-07,2.9697,2.9746,2.9588,2.9638
2007-03-08,2.9549,2.9625,2.9425,2.9517
2007-03-09,2.9484,2.9564,2.9464,2.9547
2007-03-12,2.9447,2.9506,2.9353,2.9401
2007-03-13,2.9431,2.9539,2.9419,2.9463
2007-03-14,2.9613,2.9641,2.9416,2.9423
2007-03-15,2.9422,2.9504,2.936,2.9409
2007-03-16,2.9302,2.9358,2.9148,2.9251
2007-03-19,2.9068,2.9179,2.9039,2.9068
2007-03-20,2.9082,2.918,2.9034,2.9127
2007-03-21,2.9093,2.9151,2.9057,2.9089
2007-03-22,2.8914,2.898,2.8892,2.8939
2007-03-23,2.902,2.9128,2.9001,2.9074
2007-03-26,2.9141,2.9185,2.9007,2.9042
2007-03-27,2.9048,2.9062,2.8943,2.8962
2007-03-28,2.9037,2.9155,2.9016,2.9113
2007-03-29,2.9138,2.9149,2.8962,2.9027
2007-03-30,2.8968,2.9067,2.8841,2.8854
2007-04-02,2.891,2.8939,2.8772,2.8823
2007-04-03,2.884,2.8854,2.874,2.8763
2007-04-04,2.8827,2.8879,2.8749,2.8752
