,Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
1247,284080,Sumisujima,18340,Uncertain Eruption,,0.0,,,1989.0,,1.0,,18.0,,,,1989.0,,1.0,,18.0,,31.44,140.051
1248,290240,Sarychev Peak,18818,Confirmed Eruption,,1.0,?,,1989.0,,1.0,,13.0,,Historical Observations,,1989.0,,1.0,,14.0,,48.092,153.2
1249,283120,Kusatsu-Shiranesan,17845,Uncertain Eruption,NW part of Yu-gama,1.0,,,1989.0,,1.0,,6.0,,,,1989.0,,1.0,,6.0,,36.618,138.528
1250,252120,Ulawun,15059,Confirmed Eruption,,2.0,,,1989.0,,1.0,,1.0,,Historical Observations,,1989.0,,12.0,?,16.0,15.0,-5.05,151.33
1251,360160,Kick 'em Jenny,12466,Confirmed Eruption,,0.0,,,1988.0,,12.0,,29.0,,Hydrophonic,,1988.0,,12.0,,30.0,,12.3,-61.64
1252,357100,Lonquimay,12016,Confirmed Eruption,NE flank (Navidad Crater),3.0,,,1988.0,,12.0,,25.0,,Historical Observations,,1990.0,,1.0,,24.0,1.0,-38.379,-71.586
1253,285050,Tokachidake,18660,Confirmed Eruption,1962 Crater,2.0,,,1988.0,,12.0,?,10.0,,Historical Observations,,1989.0,,5.0,,16.0,15.0,43.418,142.686
1254,241100,Ruapehu,14657,Confirmed Eruption,,1.0,,,1988.0,,12.0,,8.0,,Historical Observations,,1989.0,,3.0,?,5.0,,-39.28,175.57
1255,300270,Sheveluch,19584,Confirmed Eruption,,2.0,?,,1988.0,,12.0,,7.0,,Historical Observations,,1988.0,,12.0,,7.0,,56.653,161.36
1256,211060,Etna,13819,Confirmed Eruption,SE Crater,1.0,,,1988.0,,10.0,,2.0,,Historical Observations,,1989.0,,6.0,,30.0,,37.748,14.999
1257,353010,Fernandina,11673,Confirmed Eruption,East caldera wall,2.0,?,,1988.0,,9.0,,14.0,,Historical Observations,,1988.0,,9.0,,16.0,,-0.37,-91.55
1258,242050,Monowai,14711,Confirmed Eruption,,0.0,,,1988.0,,9.0,,8.0,,Hydrophonic,,1988.0,,9.0,,8.0,,-25.887,-177.188
1259,284170,Pagan,18518,Confirmed Eruption,North Pagan,2.0,,,1988.0,,8.0,,24.0,,Historical Observations,,1988.0,,10.0,,12.0,,18.13,145.8
1260,257060,Epi,13375,Uncertain Eruption,,0.0,,,1988.0,,8.0,,16.0,15.0,,,,,,,,,-16.68,168.37
1261,268070,Makian,16689,Confirmed Eruption,,3.0,,,1988.0,,7.0,,29.0,,Historical Observations,,1988.0,,8.0,,5.0,,0.32,127.4
1262,263180,Slamet,15762,Confirmed Eruption,,1.0,,,1988.0,,7.0,,12.0,,Historical Observations,,1988.0,,7.0,,13.0,,-7.242,109.208
1263,334050,Northern EPR at 9.8°N,10340,Confirmed Eruption,East Pacific Rise (9.3 deg N),0.0,,,1988.0,1.0,7.0,,2.0,182.0,Historical Observations,,,,,,,,9.83,-104.3
1264,354006,Sabancaya,11749,Confirmed Eruption,,1.0,,,1988.0,,6.0,,22.0,,Historical Observations,,1988.0,,10.0,?,16.0,15.0,-15.787,-71.857
1265,272020,Kanlaon,16740,Confirmed Eruption,,1.0,,,1988.0,,6.0,,21.0,,Historical Observations,,1988.0,,7.0,,2.0,,10.412,123.132
1266,344120,Concepcion,11071,Confirmed Eruption,,2.0,,,1988.0,,6.0,,16.0,15.0,Historical Observations,,,,,,,,11.538,-85.622
1267,341040,Colima,10472,Uncertain Eruption,,2.0,?,,1988.0,,6.0,,15.0,180.0,,,,,,,,,19.514,-103.62
1268,243040,Hunga Tonga-Hunga Ha'apai,14732,Confirmed Eruption,1 km SSE of Hunga Ha'apai,0.0,,,1988.0,,6.0,,1.0,,Historical Observations,,1988.0,,6.0,>,3.0,,-20.536,-175.382
1269,282110,Asosan,17344,Confirmed Eruption,Naka-dake,1.0,,,1988.0,,5.0,,26.0,5.0,Historical Observations,,1989.0,,1.0,,16.0,15.0,32.884,131.104
1270,265090,Banda Api,16420,Confirmed Eruption,"Summit, north and south flanks",3.0,?,,1988.0,,5.0,,9.0,,Historical Observations,,1988.0,,5.0,,17.0,,-4.523,129.881
1271,266100,Lokon-Empung,16458,Confirmed Eruption,Tompaluan,1.0,,,1988.0,,4.0,,21.0,,Historical Observations,,1988.0,,5.0,,1.0,,1.358,124.792
1272,311320,Akutan,20032,Confirmed Eruption,,2.0,,,1988.0,,3.0,,26.0,,Historical Observations,,1988.0,,7.0,,20.0,,54.134,-165.986
1273,241100,Ruapehu,14656,Confirmed Eruption,,1.0,,,1988.0,,3.0,,20.0,,Historical Observations,,1988.0,,5.0,,25.0,3.0,-39.28,175.57
1274,284070,Myojinsho,18331,Uncertain Eruption,Myojinsho,0.0,,,1988.0,,3.0,,18.0,,,,1988.0,,3.0,,19.0,,31.888,139.918
1275,273010,Bulusan,16768,Confirmed Eruption,,2.0,,,1988.0,,2.0,,20.0,,Historical Observations,,1988.0,,3.0,,8.0,,12.769,124.056
1276,284170,Pagan,18517,Uncertain Eruption,North Pagan,,,,1988.0,,2.0,,16.0,,,,,,,,,,18.13,145.8
1277,262000,Krakatau,15616,Confirmed Eruption,Anak Krakatau (S flank 1960-81 cone),2.0,,,1988.0,,2.0,,14.0,5.0,Historical Observations,,1988.0,,4.0,?,16.0,15.0,-6.102,105.423
1278,268060,Gamalama,16669,Confirmed Eruption,,2.0,,,1988.0,,2.0,,12.0,,Historical Observations,,1988.0,,3.0,?,16.0,15.0,0.8,127.33
1279,257040,Ambrym,15287,Confirmed Eruption,"Benbow, Mbwelesu, Marum, Niri Taten",3.0,,,1988.0,,2.0,?,12.0,,Historical Observations,,1988.0,,8.0,,23.0,,-16.25,168.12
1280,284121,Kita-Fukutokutai,18400,Uncertain Eruption,,1.0,?,,1988.0,,1.0,,27.0,,,,,,,,,,24.417,141.417
1281,282060,Kikai,16996,Confirmed Eruption,Iwo-dake,1.0,,,1988.0,,1.0,,18.0,,Historical Observations,,1988.0,,1.0,,18.0,,30.793,130.305
1282,282030,Suwanosejima,16940,Confirmed Eruption,O-take,2.0,,,1988.0,,1.0,,16.0,15.0,Historical Observations,,1989.0,,12.0,,16.0,15.0,29.638,129.714
1283,285070,Akan,18701,Confirmed Eruption,Me-Akan (SE rim of Ponmachineshiri),1.0,,,1988.0,,1.0,,5.0,,Historical Observations,,1988.0,,2.0,?,18.0,,43.384,144.013
1284,223020,Nyamuragira,14074,Confirmed Eruption,North Flank (Gafuranindi),1.0,,,1987.0,,12.0,,30.0,,Historical Observations,,1988.0,,1.0,,4.0,,-1.408,29.2
1285,264071,Ranakah,16254,Confirmed Eruption,Anak Ranakah,3.0,,,1987.0,,12.0,,28.0,,Historical Observations,,1989.0,,4.0,>,16.0,15.0,-8.62,120.52
1286,357010,Tupungatito,11899,Confirmed Eruption,,2.0,,,1987.0,,11.0,,28.0,,Historical Observations,,1987.0,,11.0,,30.0,,-33.425,-69.797
1287,355100,Lascar,11865,Confirmed Eruption,Western crater of east summit cone,3.0,,,1987.0,,11.0,<,16.0,15.0,Historical Observations,,1990.0,,4.0,,6.0,,-23.37,-67.73
1288,344040,Telica,10932,Confirmed Eruption,Vent in NE corner of crater,1.0,,,1987.0,,11.0,,16.0,15.0,Historical Observations,,1987.0,,11.0,,16.0,15.0,12.606,-86.84
1289,344020,San Cristobal,10885,Uncertain Eruption,,,,,1987.0,,11.0,,16.0,15.0,,,,,,,,,12.702,-87.004
